,DAS,Leaf_Dry_Weight,Stem_Dry_Weight,Root_Dry_Weight
0,12,0.00137187,0.00115013,0.0024687
1,13,0.004802076585430067,0.003960349110215827,0.00704207448255106
2,14,0.009132834763352662,0.0074505807973094754,0.011747475003035093
3,15,0.014462323893281046,0.011699280565638258,0.016826561863755928
4,16,0.020970297657863332,0.016843894618792682,0.02243657949751122
5,17,0.028895363432030134,0.023064415177070065,0.028718841703314048
6,18,0.03853674436017948,0.0305847895649524,0.03581852752579272
7,19,0.050262629701601336,0.03967893827534846,0.043893470787193745
8,20,0.06476680216501493,0.05086800142364025,0.05327792028294795
9,21,0.08254035969854806,0.06450919960263726,0.06411046033601324
10,22,0.10434982350668401,0.08116579430884359,0.0766611807902058
11,23,0.1311457539430417,0.101533218085158,0.09124642674071273
12,24,0.1641050176799475,0.1264686762575319,0.10823669608049702
13,25,0.20468111637878084,0.1570261420717302,0.12806493233437544
14,26,0.2546631021302331,0.19449699888282376,0.15123498834269788
15,27,0.3162427969967265,0.24045597509903446,0.1783297237729447
16,28,0.39208840413474844,0.29681082492242655,0.21001771115780893
17,29,0.485420650133239,0.365852828875249,0.24705718166515517
18,30,0.6000839889314341,0.4503026408851226,0.2902951171026161
19,31,0.7406006129796838,0.5533426991409645,0.34065868957513207
20,32,0.912188838723416,0.678623215387236,0.3991355459773342
21,33,1.120720532756509,0.8302241796181008,0.4667389950431907
22,34,1.372586320055724,1.0125520926394458,0.5444543913808382
23,35,1.674435588273573,1.2301495270233558,0.6331644969540176
24,36,2.032765562791293,1.487401391164601,0.7335549415679053
25,37,2.4533552572268142,1.7881374122752463,0.8460064044062336
26,38,2.940578739656045,2.135157483410275,0.9704872562473031
27,39,3.496683534300005,2.529741667070268,1.1064671800163335
28,40,4.121169423045903,2.9712393295403436,1.2528755707705728
29,41,4.810423977059584,3.456843875962094,1.4081243687954523
30,42,5.557741859679766,3.981636495226025,1.5702024040399611
31,43,6.353770843948725,4.53892239145499,1.7368301339949423
32,44,7.187313701098766,5.12080459874151,1.9056466224402464
33,45,8.046317298338055,5.718875289491031,2.0743919985060626
34,46,8.918807847339508,6.324857864938481,2.2410459191722887
35,47,9.79378992350462,6.93121578337583,2.4039395991331802
36,48,10.66174116666223,7.531476467186559,2.5617840166258534
37,49,11.514870606754236,8.120391785797288,2.713660466035851
38,50,12.347146823153754,8.693941858269104,2.8589803557558433
39,51,13.154168238716359,9.24923346900529,2.9974296506514015
